114
0 1 0.699394 2 0.752343 3 0.726771 4 0.697482 5 0.710634 6 0.792002 7 0.75541 8 0.764376 9 0.703771 10 0.701332 11 0.778517 12 0.718359 13 0.74771 14 0.743108 15 0.706703 16 0.864307 17 0.0729199 18 0.70871 19 0.826036 20 0.698874 21 0.848222 22 0.698404 23 0.701474 24 0.798683 25 0.893935 26 0.776129 27 0.767046 28 0.872732 29 0.816439 30 0.698249 31 0.756628 32 0.699026 33 0.758202 34 0.808594 35 0.718187 36 0.452625 37 0.758906 38 0.838232 39 0.764866 40 0.824043 41 0.741301 42 0.59101 43 0.773762 44 0.715667 45 0.724938 46 0.0505354 47 0.81176 48 0.747844 49 0.699188 50 0.771131 51 0.697525 52 0.698553 53 0.764925 54 0.698965 55 0.78317 56 0.712221 57 0.828621 58 0.851372 59 0.699191 60 0.778165 61 0.713987 62 0.723447 63 0.766302 64 0.70125 65 0.752046 66 0.697665 67 0.709584 68 0.729141 69 0.788773 70 0.760707 71 0.763684 72 0.698862 73 0.301309 74 0.814457 75 0.765969 76 0.0125763 77 0.743412 78 0.679134 79 0.699887 80 0.859115 81 0.764511 82 0.759266 83 0.662248 84 0.759074 85 0.843523 86 0.892594 87 0.753399 88 0.301692 89 0.761579 90 0.301013 91 0.789367 92 0.738145 93 0.698636 94 0.776423 95 0.780884 96 0.706819 97 0.757117 98 0.80145 99 0.806184 100 0.346162 101 0.421537 102 0.797774 103 0.721131 104 0.705129 105 0.761186 106 0.700069 107 0.781879 108 0.720529 109 0.731663 110 0.794068 111 0.818765 112 0.759485 113 0.806236 
1 0 0.699394 2 0.634373 3 0.779064 4 0.873907 5 0.639907 6 0.72665 7 0.634942 8 0.739564 9 0.817308 10 0.669789 11 0.731324 12 0.63045 13 0.629816 14 0.753919 15 0.808826 16 0.705715 17 0.0712606 18 0.804163 19 0.6952 20 0.842955 21 0.697261 22 0.82803 23 0.927788 24 0.690323 25 0.696783 26 0.732496 27 0.671607 28 0.7027 29 0.692914 30 0.959544 31 0.636087 32 0.825617 33 0.643268 34 0.718545 35 0.79257 36 0.418519 37 0.646454 38 0.697782 39 0.664052 40 0.713917 41 0.758632 42 0.588351 43 0.675392 44 0.633432 45 0.622828 46 0.0531239 47 0.717636 48 0.751927 49 0.834531 50 0.737832 51 0.86302 52 0.851299 53 0.736524 54 0.847357 55 0.726722 56 0.6369 57 0.712368 58 0.707086 59 0.831363 60 0.678782 61 0.79605 62 0.783982 63 0.666575 64 0.819639 65 0.748615 66 0.884844 67 0.641226 68 0.774386 69 0.752262 70 0.657678 71 0.65939 72 0.838963 73 0.304396 74 0.716464 75 0.66939 76 0.0253934 77 0.628012 78 0.640225 79 0.959746 80 0.696882 81 0.740419 82 0.653422 83 0.601664 84 0.744437 85 0.709675 86 0.699308 87 0.633291 88 0.29348 89 0.652133 90 0.298732 91 0.727423 92 0.761123 93 0.903742 94 0.735683 95 0.728405 96 0.643936 97 0.747097 98 0.723491 99 0.720461 100 0.338624 101 0.356324 102 0.724144 103 0.62739 104 0.813574 105 0.656415 106 0.822737 107 0.683257 108 0.788252 109 0.769268 110 0.725044 111 0.714798 112 0.638824 113 0.691722 
2 0 0.752343 1 0.634373 3 0.63969 4 0.630573 5 0.836378 6 0.697936 7 0.898877 8 0.677506 9 0.629805 10 0.708289 11 0.688729 12 0.854307 13 0.911146 14 0.656294 15 0.630902 16 0.7356 17 0.0763459 18 0.631361 19 0.795556 20 0.629463 21 0.782391 22 0.627125 23 0.636161 24 0.809936 25 0.758515 26 0.68802 27 0.816714 28 0.742174 29 0.802141 30 0.63317 31 0.884953 32 0.626779 33 0.855349 34 0.708485 35 0.63411 36 0.500295 37 0.848446 38 0.789869 39 0.823527 40 0.716049 41 0.654719 42 0.613778 43 0.818904 44 0.845137 45 0.864864 46 0.0499802 47 0.710274 48 0.660939 49 0.628845 50 0.684526 51 0.629837 52 0.629756 53 0.678692 54 0.629696 55 0.69161 56 0.840889 57 0.718403 58 0.730098 59 0.62851 60 0.819085 61 0.63274 62 0.637303 63 0.820435 64 0.628394 65 0.664662 66 0.63108 67 0.831459 68 0.64225 69 0.809294 70 0.831844 71 0.8292 72 0.62893 73 0.297089 74 0.711866 75 0.817667 76 0.00431794 77 0.895903 78 0.698447 79 0.634585 80 0.77422 81 0.676247 82 0.837668 83 0.688002 84 0.671851 85 0.725912 86 0.746352 87 0.913885 88 0.303855 89 0.845485 90 0.302744 91 0.695255 92 0.651685 93 0.632357 94 0.688375 95 0.689992 96 0.823217 97 0.669256 98 0.705364 99 0.707848 100 0.364416 101 0.488799 102 0.702683 103 0.861517 104 0.630447 105 0.834184 106 0.627614 107 0.817438 108 0.635285 109 0.64515 110 0.700187 111 0.71395 112 0.874099 113 0.806888 
3 0 0.726771 1 0.779064 2 0.63969 4 0.784832 5 0.627296 6 0.760298 7 0.643235 8 0.786011 9 0.814804 10 0.652927 11 0.775322 12 0.622035 13 0.635037 14 0.827843 15 0.824714 16 0.734683 17 0.072435 18 0.830092 19 0.704395 20 0.793283 21 0.714542 22 0.803117 23 0.781862 24 0.689819 25 0.72287 26 0.776866 27 0.671612 28 0.732413 29 0.69831 30 0.778004 31 0.643635 32 0.80829 33 0.648046 34 0.75134 35 0.862046 36 0.427446 37 0.65023 38 0.709873 39 0.666008 40 0.745274 41 0.832847 42 0.581371 43 0.675596 44 0.624278 45 0.620863 46 0.0521617 47 0.750203 48 0.819679 49 0.799401 50 0.782375 51 0.785751 52 0.789307 53 0.78193 54 0.791324 55 0.765747 56 0.625858 57 0.743266 58 0.737521 59 0.802353 60 0.679658 61 0.846212 62 0.91599 63 0.668672 64 0.811138 65 0.811434 66 0.782986 67 0.628084 68 0.911649 69 0.739824 70 0.657281 71 0.660067 72 0.79627 73 0.300061 74 0.748977 75 0.669431 76 0.0279407 77 0.632059 78 0.627938 79 0.780008 80 0.717213 81 0.789341 82 0.653368 83 0.613221 84 0.798889 85 0.740404 86 0.728247 87 0.640452 88 0.304926 89 0.654055 90 0.289387 91 0.763054 92 0.838118 93 0.782098 94 0.778599 95 0.769493 96 0.629857 97 0.805609 98 0.754391 99 0.751966 100 0.334415 101 0.366114 102 0.756092 103 0.621751 104 0.819146 105 0.655974 106 0.80972 107 0.684696 108 0.881386 109 0.873036 110 0.758025 111 0.747314 112 0.647785 113 0.694164 
4 0 0.697482 1 0.873907 2 0.630573 3 0.784832 5 0.635193 6 0.72786 7 0.631415 8 0.740557 9 0.824315 10 0.664546 11 0.731694 12 0.625636 13 0.626038 14 0.757977 15 0.81886 16 0.704348 17 0.0712702 18 0.813421 19 0.690406 20 0.869012 21 0.693595 22 0.840579 23 0.888069 24 0.685781 25 0.6959 26 0.733392 27 0.6681 28 0.702625 29 0.687748 30 0.871018 31 0.632547 32 0.832159 33 0.640087 34 0.719663 35 0.797536 36 0.418329 37 0.642561 38 0.693641 39 0.660663 40 0.713683 41 0.763156 42 0.58797 43 0.671954 44 0.628887 45 0.618476 46 0.0531159 47 0.718215 48 0.755041 49 0.850526 50 0.739183 51 0.950578 52 0.895551 53 0.738609 54 0.881131 55 0.728603 56 0.632264 57 0.712173 58 0.706985 59 0.845235 60 0.674991 61 0.802549 62 0.788509 63 0.663234 64 0.82513 65 0.750862 66 0.955855 67 0.636261 68 0.780972 69 0.74793 70 0.653351 71 0.655839 72 0.858467 73 0.304368 74 0.71661 75 0.665348 76 0.0260109 77 0.62395 78 0.635595 79 0.878756 80 0.693878 81 0.742009 82 0.649701 83 0.60061 84 0.746439 85 0.708846 86 0.698926 87 0.629624 88 0.293642 89 0.648033 90 0.296449 91 0.728088 92 0.765783 93 0.9164 94 0.73821 95 0.729802 96 0.638969 97 0.748265 98 0.724589 99 0.721567 100 0.337068 101 0.356613 102 0.725677 103 0.622689 104 0.822543 105 0.651581 106 0.828064 107 0.678944 108 0.792535 109 0.775649 110 0.726534 111 0.714782 112 0.635365 113 0.686789 
5 0 0.710634 1 0.639907 2 0.836378 3 0.627296 4 0.635193 6 0.668194 7 0.826727 8 0.653556 9 0.628296 10 0.726079 11 0.663375 12 0.872087 13 0.837261 14 0.633349 15 0.628042 16 0.697565 17 0.0731109 18 0.627501 19 0.750265 20 0.632076 21 0.736164 22 0.628038 23 0.641493 24 0.771433 25 0.71554 26 0.662956 27 0.794941 28 0.70285 29 0.75605 30 0.638759 31 0.820336 32 0.626509 33 0.813198 34 0.676521 35 0.62694 36 0.482389 37 0.813446 38 0.743038 39 0.806762 40 0.6817 41 0.633104 42 0.601304 43 0.793079 44 0.886979 45 0.849828 46 0.0509676 47 0.677704 48 0.637588 49 0.630747 50 0.660037 51 0.633987 52 0.632956 53 0.653933 54 0.632559 55 0.663643 56 0.911946 57 0.683318 58 0.693267 59 0.629742 60 0.790233 61 0.626687 62 0.626972 63 0.80542 64 0.627022 65 0.640944 66 0.636018 67 0.907732 68 0.627722 69 0.811677 70 0.813622 71 0.812804 72 0.631356 73 0.294145 74 0.678799 75 0.800743 76 0.00457571 77 0.839604 78 0.70795 79 0.640051 80 0.728212 81 0.651663 82 0.8136 83 0.662726 84 0.647101 85 0.689893 86 0.705502 87 0.83259 88 0.287833 89 0.81532 90 0.30416 91 0.666287 92 0.631608 93 0.637586 94 0.663691 95 0.662979 96 0.873823 97 0.645574 98 0.674051 99 0.676288 100 0.355213 101 0.474433 102 0.671847 103 0.858165 104 0.628464 105 0.814442 106 0.626657 107 0.785278 108 0.626762 109 0.628363 110 0.66966 111 0.68011 112 0.819975 113 0.764074 
6 0 0.792002 1 0.72665 2 0.697936 3 0.760298 4 0.72786 5 0.668194 7 0.700848 8 0.816969 9 0.737851 10 0.67908 11 0.849307 12 0.669085 13 0.693151 14 0.785602 15 0.741596 16 0.808508 17 0.0735383 18 0.743532 19 0.757891 20 0.728945 21 0.771729 22 0.730032 23 0.729066 24 0.738328 25 0.785855 26 0.842966 27 0.716901 28 0.803463 29 0.752156 30 0.725148 31 0.701829 32 0.73184 33 0.705897 34 0.853612 35 0.752156 36 0.443662 37 0.707372 38 0.764845 39 0.714815 40 0.829371 41 0.782247 42 0.594301 43 0.723377 44 0.668384 45 0.672359 46 0.050521 47 0.849081 48 0.790743 49 0.730148 50 0.831902 51 0.727649 52 0.728317 53 0.81892 54 0.728619 55 0.880132 56 0.668985 57 0.825492 58 0.815137 59 0.730418 60 0.726434 61 0.749032 62 0.757723 63 0.715222 64 0.735098 65 0.794241 66 0.727235 67 0.667841 68 0.763275 69 0.770008 70 0.710563 71 0.712287 72 0.729401 73 0.309526 74 0.843241 75 0.716371 76 0.0159536 77 0.68963 78 0.658021 79 0.72733 80 0.775683 81 0.812786 82 0.709117 83 0.642874 84 0.803068 85 0.817946 86 0.797007 87 0.698208 88 0.307291 89 0.710352 90 0.294449 91 0.911847 92 0.777308 93 0.727181 94 0.839423 95 0.865335 96 0.668986 97 0.79815 98 0.869874 99 0.858674 100 0.34401 101 0.396806 102 0.883317 103 0.66995 104 0.73987 105 0.709899 106 0.733611 107 0.730872 108 0.755491 109 0.767141 110 0.913872 111 0.835169 112 0.705827 113 0.74558 
7 0 0.75541 1 0.634942 2 0.898877 3 0.643235 4 0.631415 5 0.826727 6 0.700848 8 0.680438 9 0.630347 10 0.701596 11 0.691044 12 0.838231 13 0.883281 14 0.658094 15 0.631898 16 0.737962 17 0.0775387 18 0.632851 19 0.797767 20 0.62972 21 0.783478 22 0.627546 23 0.636873 24 0.8134 25 0.759973 26 0.690445 27 0.820528 28 0.744767 29 0.804151 30 0.633654 31 0.919356 32 0.627087 33 0.867171 34 0.71167 35 0.636017 36 0.507828 37 0.856483 38 0.790984 39 0.826512 40 0.719165 41 0.656488 42 0.616471 43 0.821533 44 0.83308 45 0.845027 46 0.0502176 47 0.713446 48 0.662952 49 0.629172 50 0.688162 51 0.630475 52 0.630284 53 0.681641 54 0.630096 55 0.694115 56 0.828382 57 0.721774 58 0.732983 59 0.62886 60 0.822292 61 0.634389 62 0.640275 63 0.823049 64 0.628578 65 0.667039 66 0.631861 67 0.82511 68 0.645621 69 0.807306 70 0.834468 71 0.832435 72 0.629345 73 0.296172 74 0.715154 75 0.820873 76 0.00418834 77 0.870974 78 0.693702 79 0.635272 80 0.776312 81 0.67898 82 0.841582 83 0.69945 84 0.674334 85 0.728834 86 0.749035 87 0.917064 88 0.308936 89 0.852107 90 0.301859 91 0.6979 92 0.65364 93 0.633131 94 0.691256 95 0.692492 96 0.818707 97 0.671755 98 0.707443 99 0.710777 100 0.36516 101 0.491898 102 0.705066 103 0.843792 104 0.631138 105 0.83681 106 0.627818 107 0.82033 108 0.637717 109 0.647867 110 0.702795 111 0.717384 112 0.901239 113 0.810927 
8 0 0.764376 1 0.739564 2 0.677506 3 0.786011 4 0.740557 5 0.653556 6 0.816969 7 0.680438 9 0.753948 10 0.667113 11 0.840411 12 0.653273 13 0.672811 14 0.814722 15 0.758653 16 0.776088 17 0.0734938 18 0.760979 19 0.740463 20 0.743107 21 0.748677 22 0.744527 23 0.741136 24 0.723298 25 0.760825 26 0.844744 27 0.700995 28 0.77168 29 0.733471 30 0.738341 31 0.68186 32 0.746607 33 0.686566 34 0.798635 35 0.771754 36 0.435387 37 0.688026 38 0.745936 39 0.697254 40 0.788779 41 0.809245 42 0.585728 43 0.705165 44 0.653909 45 0.653765 46 0.0511559 47 0.79502 48 0.825793 49 0.744696 50 0.880484 51 0.74042 52 0.741779 53 0.91209 54 0.742185 55 0.824387 56 0.654162 57 0.788696 58 0.781587 59 0.744898 60 0.709033 61 0.767106 62 0.780039 63 0.698734 64 0.750758 65 0.835654 66 0.739575 67 0.652884 68 0.790709 69 0.755954 70 0.692389 71 0.69486 72 0.74373 73 0.306484 74 0.792103 75 0.698816 76 0.0205645 77 0.668847 78 0.643743 79 0.739748 80 0.753083 81 0.906656 82 0.690153 83 0.633205 84 0.861341 85 0.785177 86 0.767298 87 0.678483 88 0.305963 89 0.691451 90 0.291896 91 0.820319 92 0.804433 93 0.739088 94 0.855162 95 0.83063 96 0.652895 97 0.845523 98 0.807992 99 0.802337 100 0.340581 101 0.378939 102 0.810592 103 0.652932 104 0.756435 105 0.691799 106 0.748597 107 0.712906 108 0.775783 109 0.794032 110 0.813978 111 0.790096 112 0.68532 113 0.728209 
9 0 0.703771 1 0.817308 2 0.629805 3 0.814804 4 0.824315 5 0.628296 6 0.737851 7 0.630347 8 0.753948 10 0.655316 11 0.745784 12 0.619683 13 0.625739 14 0.782881 15 0.910572 16 0.71246 17 0.0721465 18 0.89014 19 0.690469 20 0.844635 21 0.695006 22 0.86938 23 0.820724 24 0.680344 25 0.701084 26 0.746772 27 0.66561 28 0.710674 29 0.686419 30 0.814986 31 0.631378 32 0.892424 33 0.638664 34 0.729619 35 0.844008 36 0.424485 37 0.641899 38 0.693198 39 0.659179 40 0.723867 41 0.78815 42 0.588465 43 0.66854 44 0.622773 45 0.615502 46 0.0527084 47 0.728395 48 0.779825 49 0.85624 50 0.751866 51 0.825602 52 0.832495 53 0.751292 54 0.838218 55 0.739311 56 0.625909 57 0.722236 58 0.715247 59 0.862295 60 0.671284 61 0.857086 62 0.823617 63 0.661449 64 0.941367 65 0.773214 66 0.823692 67 0.629817 68 0.810226 69 0.741665 70 0.650944 71 0.653298 72 0.852037 73 0.300385 74 0.727297 75 0.663779 76 0.028387 77 0.623622 78 0.629942 79 0.818627 80 0.697096 81 0.756377 82 0.647057 83 0.605908 84 0.763835 85 0.718404 86 0.705925 87 0.629371 88 0.298797 89 0.646205 90 0.293197 91 0.738169 92 0.792311 93 0.822309 94 0.751264 95 0.741665 96 0.631724 97 0.768359 98 0.733885 99 0.731129 100 0.336113 101 0.362581 102 0.735785 103 0.617666 104 0.94279 105 0.649645 106 0.908538 107 0.675822 108 0.834749 109 0.804603 110 0.736938 111 0.725625 112 0.636132 113 0.68287 
10 0 0.701332 1 0.669789 2 0.708289 3 0.652927 4 0.664546 5 0.726079 6 0.67908 7 0.701596 8 0.667113 9 0.655316 11 0.674842 12 0.718701 13 0.705509 14 0.653626 15 0.654884 16 0.692487 17 0.0398011 18 0.654254 19 0.720826 20 0.65997 21 0.71637 22 0.655709 23 0.671582 24 0.725944 25 0.703963 26 0.674254 27 0.726597 28 0.695672 29 0.72175 30 0.668787 31 0.701947 32 0.654071 33 0.709561 34 0.679498 35 0.653505 36 0.282224 37 0.712606 38 0.720089 39 0.725988 40 0.681107 41 0.653841 42 0.439119 43 0.729408 44 0.721374 45 0.710856 46 0.04337 47 0.679175 48 0.656303 49 0.658621 50 0.67304 51 0.663178 52 0.661204 53 0.667297 54 0.660612 55 0.67578 56 0.723927 57 0.68295 58 0.690338 59 0.657195 60 0.731757 61 0.653412 62 0.65316 63 0.726172 64 0.654208 65 0.658621 66 0.66553 67 0.726558 68 0.652605 69 0.808633 70 0.724641 71 0.726664 72 0.659392 73 0.255823 74 0.67938 75 0.726322 76 0.0010755 77 0.710734 78 0.849517 79 0.670011 80 0.711635 81 0.665932 82 0.719222 83 0.453238 84 0.662824 85 0.68829 86 0.697335 87 0.701392 88 0.146461 89 0.718918 90 0.284312 91 0.677945 92 0.653413 93 0.667171 94 0.675407 95 0.675129 96 0.727991 97 0.661783 98 0.680899 99 0.680184 100 0.242883 101 0.355031 102 0.680275 103 0.715384 104 0.655465 105 0.722488 106 0.653834 107 0.731053 108 0.653028 109 0.652167 110 0.679608 111 0.680081 112 0.705583 113 0.723445 
